"","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone"
"723",1,3,21,3,"1",2993,1,2,3,"2","1",2,1,28,1,"2",2,"1",1,1
"637",0,1,12,4,"2",2246,1,4,3,"2","1",3,2,60,2,"2",2,"2",1,1
"973",0,3,18,2,"2",2100,1,2,4,"2","2",2,1,37,2,"2",1,"2",1,1
"708",1,2,30,4,"3",2181,3,4,4,"2","1",4,1,36,2,"2",2,"2",1,1
"646",1,1,36,2,"3",15857,1,1,2,"1","2",3,3,43,2,"2",1,"3",1,1
"307",1,1,6,2,"2",1374,1,2,1,"2","1",2,1,36,1,"2",1,"1",1,2
"247",1,3,18,4,"2",1800,1,2,4,"2","1",2,3,24,2,"2",2,"2",1,1
"538",1,3,4,4,"3",1455,1,3,2,"2","1",1,1,42,2,"2",2,"1",2,1
"427",1,2,39,3,"3",11760,1,3,2,"2","1",3,4,32,2,"1",1,"2",1,2
"385",1,3,42,4,"2",4041,2,2,4,"2","1",4,1,36,2,"2",2,"2",1,2
"407",1,3,15,2,"1",4657,1,2,3,"2","1",2,3,30,2,"2",1,"2",1,2
"857",0,1,24,1,"2",3349,2,1,4,"2","1",4,4,30,2,"3",1,"2",2,2
"402",1,2,12,2,"3",1037,1,3,3,"2","1",4,1,39,2,"2",1,"1",1,1
"144",1,3,9,4,"2",2406,1,1,2,"2","1",3,3,31,2,"2",1,"3",1,1
"665",1,1,8,4,"3",713,1,4,4,"2","1",4,1,47,2,"2",2,"1",1,1
"937",0,2,9,2,"2",959,1,2,1,"1","1",2,3,29,1,"2",1,"2",1,1
"991",0,1,18,2,"3",750,1,1,4,"1","1",1,1,27,2,"2",1,"1",1,1
"749",1,2,9,2,"3",1199,1,3,4,"1","1",4,2,67,2,"2",2,"3",1,2
"936",0,1,20,4,"3",2235,1,2,4,"3","2",2,2,33,1,"1",2,"2",1,1
"317",1,3,24,1,"3",1559,1,3,4,"2","1",4,3,40,1,"2",1,"2",1,2
"252",1,2,18,3,"2",6204,1,2,2,"2","1",4,1,44,2,"2",1,"1",2,2
"12",1,1,30,4,"1",6187,1,3,1,"3","1",4,3,24,2,"1",2,"2",1,1
"127",1,3,15,2,"2",874,3,1,4,"1","1",1,1,24,2,"2",1,"2",1,1
"2",1,1,9,4,"3",2799,1,2,2,"2","1",2,1,36,2,"1",2,"2",2,1
"391",1,3,15,2,"1",3029,1,3,2,"2","1",2,3,33,2,"2",1,"2",1,1
"230",1,2,48,1,"3",3566,1,3,4,"2","1",2,3,30,2,"2",1,"2",1,1
"251",1,2,18,3,"3",2899,3,4,4,"2","1",4,3,43,2,"2",1,"2",2,1
"59",1,3,21,2,"2",3160,3,4,4,"2","1",3,2,41,2,"2",1,"2",1,2
"773",0,1,18,2,"2",1217,1,2,4,"3","1",3,1,47,2,"2",1,"1",1,2
"101",1,3,24,4,"2",3777,3,2,4,"2","1",4,1,40,2,"2",1,"2",1,2
"440",1,2,18,4,"3",3590,1,1,3,"3","1",3,3,40,2,"2",2,"1",2,2
"715",1,3,6,2,"3",3518,1,2,2,"2","2",3,2,26,2,"1",1,"2",1,1
"898",0,3,27,2,"3",2570,1,2,3,"1","1",3,1,21,2,"1",1,"2",1,1
"118",1,3,24,2,"1",2603,3,2,2,"1","1",4,3,28,2,"1",1,"2",1,2
"805",0,1,12,2,"3",900,3,2,4,"3","1",2,3,23,2,"2",1,"2",1,1
"661",1,2,8,2,"2",1414,1,2,4,"2","2",2,1,33,2,"2",1,"2",1,1
"411",1,3,13,2,"2",1409,1,1,2,"1","1",4,1,64,2,"2",1,"2",1,1
"548",1,3,10,4,"2",1347,3,3,4,"2","1",2,2,27,2,"2",2,"2",1,2
"864",0,3,18,4,"3",2775,1,3,2,"2","1",2,2,31,1,"2",2,"2",1,1
"235",0,2,12,2,"3",685,1,3,2,"3","1",3,3,25,1,"2",1,"1",1,1
"571",1,3,12,2,"3",1330,1,1,4,"2","1",1,1,26,2,"2",1,"2",1,1
"160",1,2,12,4,"2",3617,1,4,1,"2","1",4,3,28,2,"1",2,"2",1,2
"867",0,2,12,2,"3",1295,1,1,3,"1","1",1,3,25,2,"1",1,"2",1,1
"73",1,3,36,2,"2",2299,2,4,4,"2","1",4,3,39,2,"2",1,"2",1,1
"719",0,2,18,2,"2",1924,3,1,4,"1","1",3,1,27,2,"1",1,"2",1,1
"64",1,3,36,3,"3",10875,1,4,2,"2","1",2,3,45,2,"2",2,"2",2,2
"175",1,3,12,2,"2",1963,1,3,4,"2","1",2,3,31,2,"1",2,"3",2,2
"984",0,1,18,2,"2",1882,1,2,4,"1","1",4,3,25,1,"1",2,"2",1,1
"428",0,2,9,4,"3",1501,1,4,2,"1","1",3,3,34,2,"2",2,"3",1,2
"912",0,1,12,4,"3",691,1,4,4,"2","1",3,2,35,2,"2",2,"2",1,1
"706",1,3,15,2,"2",1262,2,3,4,"2","1",3,2,36,2,"2",2,"2",1,2
"522",0,3,36,2,"2",10974,1,1,4,"1","1",2,3,26,2,"2",2,"3",1,2
"474",1,3,15,2,"2",2186,3,3,1,"1","1",4,1,33,1,"1",1,"1",1,1
"942",0,2,12,2,"3",888,1,4,4,"2","1",4,3,41,1,"2",1,"1",2,1
"78",1,3,24,4,"3",1940,3,4,4,"2","1",4,1,60,2,"2",1,"2",1,2
"826",0,2,6,3,"3",1209,1,1,4,"2","1",4,2,47,2,"2",1,"3",1,2
"56",1,1,12,4,"2",385,1,3,4,"1","1",3,1,58,2,"2",2,"1",1,2
"324",1,1,10,4,"2",2132,3,1,2,"1","2",3,1,27,2,"1",2,"2",1,1
"705",1,1,6,4,"2",1169,3,4,4,"2","1",4,1,67,2,"2",2,"2",1,2
"496",1,3,24,2,"2",1311,1,3,4,"3","1",3,2,26,2,"2",1,"2",1,2
"683",1,2,20,3,"1",7057,3,3,3,"2","1",4,2,36,1,"1",2,"3",2,2
"80",1,3,15,2,"2",1979,3,4,4,"2","1",2,3,35,2,"2",1,"2",1,1
"435",1,3,12,4,"3",1264,3,4,4,"2","1",4,4,57,2,"1",1,"1",1,1
"896",0,2,18,2,"1",12976,1,1,3,"1","1",4,4,38,2,"3",1,"3",1,2
"96",1,3,27,4,"2",4526,3,1,4,"2","1",2,1,32,1,"2",2,"1",2,2
"414",1,3,24,3,"3",2375,2,2,4,"2","1",2,3,44,2,"2",2,"2",2,2
"193",1,2,48,2,"3",8487,3,3,1,"1","1",2,3,24,2,"2",1,"2",1,1
"185",1,3,9,2,"3",1449,1,3,3,"1","1",2,3,27,2,"2",2,"2",1,1
"714",1,3,9,4,"3",1244,3,4,4,"1","1",4,2,41,2,"1",2,"1",1,1
"439",1,1,27,4,"3",2442,1,4,4,"2","1",4,3,43,1,"2",2,"3",2,2
"962",0,2,12,2,"2",1331,1,1,2,"2","1",1,3,22,2,"2",1,"2",1,1
"138",1,1,24,1,"3",2325,1,3,2,"2","1",3,3,32,1,"2",1,"2",1,1
"83",1,2,18,2,"3",5866,1,2,2,"2","1",2,3,30,2,"2",2,"2",1,2
"774",0,1,36,2,"3",9271,1,3,2,"2","1",1,3,24,2,"2",1,"2",1,2
"282",1,3,12,2,"2",2251,1,2,1,"1","1",2,3,46,2,"2",1,"1",1,1
"449",1,3,36,2,"1",4686,1,2,2,"2","1",2,4,32,2,"3",1,"3",1,2
"44",1,2,24,4,"3",2825,3,3,4,"2","1",3,4,34,2,"2",2,"2",2,2
"951",0,2,45,4,"2",4746,1,1,4,"2","1",2,2,24,1,"2",2,"1",1,1
"768",0,3,18,4,"3",1530,1,2,3,"2","1",2,2,32,1,"2",2,"2",1,1
"634",1,1,36,2,"2",3959,1,1,4,"2","1",3,2,30,2,"2",1,"3",1,2
"659",1,2,7,2,"2",2576,1,2,2,"2","2",2,1,35,2,"2",1,"2",1,1
"285",1,1,21,2,"2",3357,3,1,4,"1","1",2,3,29,1,"2",1,"2",1,1
"62",1,3,24,2,"1",2679,1,1,4,"1","1",1,4,29,2,"2",1,"3",1,2
"629",1,3,6,2,"3",1238,3,1,4,"2","1",4,2,36,2,"2",1,"3",2,2
"993",0,1,18,2,"1",7511,3,4,1,"2","1",4,2,51,2,"3",1,"2",2,2
"602",1,3,24,4,"2",2028,1,3,2,"2","1",2,2,30,2,"2",2,"1",1,1
"648",1,3,48,3,"2",7238,3,4,3,"2","1",3,3,32,1,"2",2,"2",2,1
"861",0,3,48,2,"3",3914,3,2,4,"1","1",2,1,38,1,"2",1,"2",1,1
"817",0,3,10,2,"3",1240,1,4,1,"1","1",4,4,48,2,"3",1,"1",2,1
"694",1,3,15,3,"1",3594,1,1,1,"1","1",2,2,46,2,"2",2,"1",1,1
"772",0,1,9,2,"3",1422,1,1,3,"2","1",2,4,27,2,"3",1,"3",1,2
"200",1,3,48,1,"3",3609,1,2,1,"1","1",1,1,27,1,"2",1,"2",1,1
"804",0,2,18,2,"3",1042,3,2,4,"1","1",2,2,33,2,"2",1,"2",1,1
"664",1,2,6,2,"2",1068,1,4,4,"2","1",4,3,28,2,"2",1,"2",2,1
"417",1,3,11,4,"2",1154,1,1,4,"1","1",4,1,57,2,"2",2,"1",1,1
